,increment,ema,window,date,f1,f2,f3,f4,f5,fw_ret_1,fw_ret_2,fw_ret_3,label,idx1,idx2,idx3,idx4,idx5,industry
0,1,3,3,"(4021, 4032)",6.520112991333008,6.7798051834106445,6.511993408203125,6.7938995361328125,6.519044876098633,0.03135100444518302,0.0843239638170934,0.06270230147136058,3,4021.0,4024.0,4028.0,4031.0,4032.0,Broadcasting - TV
1,1,3,3,"(925, 938)",0.8740009665489197,0.8972457051277161,0.8740009665489197,0.8972457051277161,0.8740009665489197,0.005319265379703397,0.005319265379703397,0.0,2,925.0,925.0,925.0,927.0,927.0,"Air Services, Other"
2,1,20,10,"(4215, 4239)",3.2061126232147217,3.2675995826721187,3.2061126232147217,3.25881576538086,3.2148966789245605,0.0,0.0,0.0027321496613754714,2,4215.0,4215.0,4216.0,4220.0,4225.0,"Air Services, Other"
3,1,3,3,"(8748, 8761)",146.94076538085938,150.35939025878906,146.50350952148438,150.44882202148438,146.77183532714844,0.00947921053673939,0.026000331225005446,0.04644864104701196,3,8748.0,8751.0,8754.0,8760.0,8761.0,Asset Management
4,1,3,3,"(9869, 9878)",40.3113899230957,41.22999954223633,40.150001525878906,41.060001373291016,40.18999862670898,0.0004976476349114467,0.006966971972178104,-0.004229862521874518,1,9869.0,9872.0,9873.0,9876.0,9878.0,Electronic Equipment
5,1,10,30,"(8802, 8883)",24.225725173950195,26.23001289367676,24.25186920166016,26.212581634521484,24.179485321044922,0.006704023518472324,0.006331538325980768,0.03091264236199476,1,8802.0,8813.0,8822.0,8855.0,8883.0,Electronic Equipment
6,1,3,3,"(403, 412)",2.0326919555664062,2.1250865459442143,2.0326919555664062,2.1250865459442143,2.0326919555664062,0.04545430020756025,0.0227272087497985,0.0227272087497985,2,403.0,403.0,403.0,406.0,406.0,Independent Oil & Gas
7,1,10,3,"(654, 704)",0.8315560817718506,0.9239517450332642,0.8315560817718506,0.9239517450332642,0.8315560817718506,-0.05555573873379749,-0.05555573873379749,0.0,2,654.0,654.0,654.0,672.0,672.0,Independent Oil & Gas
8,1,10,3,"(4852, 4871)",0.5600000023841858,0.5899999737739563,0.5600000023841858,0.5899999737739563,0.5600000023841858,0.05357137725365435,0.05357137725365435,0.05357137725365435,1,4852.0,4852.0,4852.0,4854.0,4854.0,Oil & Gas Equipment & Services
9,1,20,3,"(2619, 2661)",1.7999999523162842,2.200000047683716,1.7999999523162842,2.200000047683716,1.7999999523162842,0.0,0.1111111405455043,0.0,2,2619.0,2619.0,2619.0,2647.0,2647.0,Oil & Gas Equipment & Services
10,1,20,3,"(4777, 4804)",0.7200000286102295,0.75,0.7200000286102295,0.75,0.7200000286102295,0.0,0.0,0.027777750183035854,3,4777.0,4777.0,4777.0,4778.0,4778.0,Oil & Gas Equipment & Services
11,1,30,3,"(3170, 3201)",10.563668251037598,10.71955394744873,10.517817497253418,10.765403747558594,10.563668251037598,0.005208268915713799,0.005208268915713799,0.02256949632335448,3,3170.0,3170.0,3184.0,3185.0,3191.0,Lodging
12,1,3,3,"(3799, 3813)",7.7349610328674325,7.926735877990723,7.7349610328674325,7.926735877990723,7.766918182373048,0.008231559523803611,0.0246921000505389,0.01234626490200852,3,3799.0,3799.0,3803.0,3805.0,3805.0,Diversified Machinery
